title,isbn10,isbn13,vendor_buy,description,purchase_cost,processing_cost,net_buying_cost,url_buy
History of the Mafia,231131356,9780231131353,Amazon.com,"Softcover, ISBN 9780231131353Publisher: Columbia University Press, 2011352 pages. Used - Good, Usually ships in 1-2 business days, Item in good condition. Textbooks may not include supplemental items i.e. CDs, access codes etc...",8.43,2,10.43,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=WRjremzBzmYSnU.1dk8e74v,cZY_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0231131356%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=nRrWtfBYBjPoqnBhBFjV"
Operations and Supply Chain Management: The Core (Book Only) (The Mcgraw-hill/Irwin Series Operations and Decision Sciences),73525235,9780073525235,Amazon.com,"Hardcover, ISBN 9780073525235Publisher: McGraw-Hill Education, 2012552 pages. Used - Acceptable, Usually ships in 1-2 business days, Fast Shipping! Ships within 1 business day. Arrives within 3-8 business days. May contain highlighting/markings or cover wear. Book in ACCEPTABLE condition. This item does not include any CDs, Infotracs, Access cards or other supplementary material.",16.16,2,18.16,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=Ck62aCBSdpMd4bUxm9fqm,9nvJU_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0073525235%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=v7AM66EI7BAokbwxV23W"
PMP Exam Challenge! (ESI International Project Management Series),1466599820,8601400056530,N/A,N/A,N/A,N/A,N/A,N/A
The PMI-ACP Exam: How To Pass On Your First Try (Test Prep series),982760833,9780982760833,Amazon.com,"Softcover, ISBN 9780982760833Publisher: Velociteach, 2012275 pages. Used - Acceptable, Usually ships in 1-2 business days, A readable copy. All pages are intact, and the cover is intact. Pages can include considerable notes-in pen or highlighter-but the notes cannot obscure the text. At ThriftBooks, our motto is: Read More, Spend Less.",33.36,2,35.36,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=qJcOYtnru0rPcVYX1yR7vrldVz0_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0982760833%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=7nylJdYOZjfGa_Vr4wt9
Designing and Managing the Supply Chain 3e with Student CD,73341525,9780073341521,Amazon.com,"Softcover, ISBN 9780073341521Publisher: McGraw-Hill Education, 2007Used - Good, Usually ships in 1-2 business days, Good usable condition with some corner wear. 7.11.18 ASIN: B007YXOUB6",35.48,2,37.48,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=3La6vo4F9BA8zZ69A.Ota2Rp6fo_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2FB007YXOUB6%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=IxIe5UHq0tiKo_5bbIaH
Managing and Leading Software Projects,470294558,9780470294550,N/A,N/A,N/A,N/A,N/A,N/A
The Cambridge Companion to the Victorian Novel (Cambridge Companions to Literature),521182158,9780521182157,Amazon.com,"Softcover, ISBN 9780521182157Publisher: Cambridge University Press, 2013290 pages. Used - Like New, Usually ships in 1-2 business days, Unread copy in perfect condition.",28.95,2,30.95,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=EUQJF2AxTd7xn0w86,ETS6aZuxE_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0521182158%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=Kq.jZNg9zGqMW2Y8zu9e"
Engineering Your Future: A Brief Introduction to Engineering,190279338,9780190279332,Amazon.com,"Softcover, ISBN 9780190279332Publisher: Oxford University Press, 2016416 pages. Used - Very Good, Usually ships in 1-2 business days",36.99,2,38.99,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=zknsWguQu6jAgTZK5ixwGNEs0,I_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0190279338%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=ixBTr8oVg_avGBfESK0m"
Project Management Case Studies,1119385970,9781119385974,Amazon.com,"Softcover, ISBN 9781119385974Publisher: Wiley, 2017816 pages. Used - Very Good, Usually ships in 1-2 business days",32.74,2,34.74,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=rbcSlTKKkaQINbhmn,7SafeujO4_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1119385970%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=8AayJIkw.nilCUUUOeI0"
Work Breakdown Structures: The Foundation for Project Management Excellence,470177128,9780470177129,Amazon.com,"Hardcover, ISBN 9780470177129Publisher: Wiley, 2008304 pages. Used - Good, Usually ships in 24 hours, Item may show signs of shelf wear. Pages may include limited notes and highlighting. May not include supplemental or companion materials if applicable. Access codes may or may not work. Connecting readers since 1972. Customer service is our top priority.",37.92,2,39.92,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=q3dL8oy4nHMdVhJ.Q0uMZIIBevY_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0470177128%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=Sg2NvaVQV_HQ.s_VHenn
