category,url
Books:Literature & Fiction:Action & Adventure:Short Stories,https://www.amazon.com/s/ref=sr_nr_n_6?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A17%2Cn%3A720360%2Cn%3A10159274011&bbn=720360&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=720360
Books:Sports & Outdoors:Outdoor Recreation:Canoeing,https://www.amazon.com/s/ref=sr_nr_n_9?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A290108%2Cn%3A16651&bbn=290108&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=290108
Books:Education & Teaching:Test Preparation:Test Flash Cards,https://www.amazon.com/s/ref=sr_nr_n_3?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A8975347011%2Cn%3A5267710011%2Cn%3A7290953011&bbn=5267710011&keywords=textbooks&ie=UTF8&qid=1535004107&rnid=5267710011
"Books:Mystery, Thriller & Suspense:Thrillers & Suspense:Technothrillers",https://www.amazon.com/s/ref=sr_nr_n_4?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A10484%2Cn%3A10497&bbn=10484&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=10484
Books:Science Fiction & Fantasy:Gaming:Dungeons & Dragons,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A25%2Cn%3A16211%2Cn%3A16215&bbn=16211&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=16211
Books:Literature & Fiction:Action & Adventure:War & Military,https://www.amazon.com/s/ref=sr_nr_n_4?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A17%2Cn%3A720360%2Cn%3A10159275011&bbn=720360&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=720360
Books:Education & Teaching:Test Preparation:TOEFL & TOEIC,https://www.amazon.com/s/ref=sr_nr_n_6?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A8975347011%2Cn%3A5267710011%2Cn%3A11655&bbn=5267710011&keywords=textbooks&ie=UTF8&qid=1535004107&rnid=5267710011
Books:Sports & Outdoors:Hockey:Coaching,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16477%2Cn%3A266222&bbn=16477&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16477
Books:Teen & Young Adult:Literature & Fiction:Classics,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A17443%2Cn%3A17445&bbn=17443&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=17443
"Books:Mystery, Thriller & Suspense:Thrillers & Suspense:Historical",https://www.amazon.com/s/ref=sr_nr_n_5?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A10484%2Cn%3A7538393011&bbn=10484&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=10484
